X Y Z R G B Scalar_field Scalar_field_#2 Scalar_field_#3 Scalar_field_#4 Scalar_field_#5 Scalar_field_#6 Scalar_field_#7 Nx Ny Nz
260732.58000183 2147521.02000046 810.03002930 1 1 0 7.000000 215370688.000000 -35.000000 20359.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260728.54000092 2147532.45999908 803.30999756 1 1 0 7.000000 215370688.000000 -34.000000 20796.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260728.30999756 2147533.15000153 808.26000977 1 1 0 7.000000 215370688.000000 -34.000000 23527.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260732.31999969 2147523.40999985 808.21002197 1 1 0 7.000000 215370688.000000 -35.000000 20512.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260733.76999664 2147520.03000069 812.36999512 1 1 0 7.000000 215370688.000000 -35.000000 19944.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260729.20999908 2147529.20999908 803.34997559 1 1 0 7.000000 215370688.000000 -34.000000 19463.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260727.87999725 2147535.20999908 804.21997070 1 1 0 7.000000 215370688.000000 -34.000000 19485.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260732.86000061 2147523.25000000 810.21002197 1 1 0 7.000000 215370688.000000 -35.000000 19682.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260739.68000031 2147506.57000017 809.22998047 1 1 0 7.000000 215370688.000000 -36.000000 23745.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260710.94000244 2147581.15000153 809.97998047 1 1 0 7.000000 215370688.000000 -32.000000 22063.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260730.83000183 2147532.72999954 809.39001465 1 1 0 7.000000 215370688.000000 -34.000000 23701.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260734.98000336 2147522.79999924 814.67999268 1 1 0 7.000000 215370688.000000 -35.000000 23046.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260731.00000000 2147533.70999908 806.80999756 2 1 0 7.000000 215370688.000000 -34.000000 19245.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260734.81999969 2147524.77000046 817.32000732 1 1 0 7.000000 215370688.000000 -35.000000 19158.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260732.83000183 2147534.34000015 808.01000977 1 1 0 7.000000 215370688.000000 -34.000000 19726.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260714.56999969 2147579.12999725 812.82000732 1 1 0 7.000000 215370688.000000 -32.000000 20206.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260733.72000122 2147532.59999847 809.65002441 1 1 0 7.000000 215370688.000000 -35.000000 22260.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260735.02999878 2147529.37999916 808.38000488 1 1 0 7.000000 215370688.000000 -35.000000 20162.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260710.37999725 2147589.09999847 815.66998291 1 1 0 7.000000 215370688.000000 -32.000000 19638.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260736.88999939 2147529.34000015 821.28997803 1 1 0 7.000000 215370688.000000 -35.000000 20861.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260736.72999954 2147531.55999947 811.83001709 1 1 0 7.000000 215370688.000000 -35.000000 21189.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260737.41999817 2147529.92000008 813.03997803 1 1 0 7.000000 215370688.000000 -35.000000 19463.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260736.36999893 2147534.00000000 810.71997070 2 1 0 7.000000 215370688.000000 -35.000000 19704.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260737.63000107 2147529.62999916 819.22998047 1 1 0 7.000000 215370688.000000 -35.000000 21582.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260743.50999832 2147515.47999954 823.66998291 1 1 0 7.000000 215370688.000000 -36.000000 19813.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260715.65000153 2147582.75000000 816.91998291 1 1 0 7.000000 215370688.000000 -32.000000 19835.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260737.59999847 2147536.29000092 812.96997070 1 1 0 7.000000 215370688.000000 -35.000000 19660.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260739.91999817 2147531.22999954 829.26000977 1 1 0 7.000000 215370688.000000 -35.000000 20534.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
260746.99000168 2147513.77000046 821.39001465 1 1 0 7.000000 215370688.000000 -36.000000 21735.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
